D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\2.5ppm-cal7-2.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:25:28 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
67.231,66.67,200,16.67,537.51,487.51,666.68,12.5,12.5,116.67,3183.64,40,2900.26,1083.37,566.68,83.33,183.33,16.67,900.03,1116.71
68.549,0,337.5,166.67,425.01,475.01,850.02,0,12.5,83.33,4333.9,70,2900.26,916.69,900.03,233.34,183.33,0,1250.05,1483.41
69.866,100,325,150,687.51,450.01,833.35,0,0,116.67,2650.21,30,2216.82,816.69,366.67,66.67,166.67,83.33,966.7,933.36
71.185,66.67,362.5,33.33,637.51,412.51,1183.37,37.5,25,133.33,3650.41,70,3767.1,1250.05,583.34,133.33,150,0,1283.39,1283.39
72.503,66.67,137.5,100,350,250,666.68,0,0,50,3583.72,50,3417.03,966.7,700.02,116.67,250,16.67,1183.38,1166.71
73.821,50,275,33.33,625.01,562.51,1333.39,0,0,150,3216.98,60,2916.93,950.03,566.68,100,183.33,33.33,966.7,800.02
75.139,66.67,262.5,50,575.01,462.51,783.35,0,0,33.33,4100.51,90,3283.67,1300.05,750.02,100,116.67,33.33,1033.37,1266.72
76.457,50,175,83.33,462.51,487.51,1083.37,0,12.5,133.33,3517.04,40,2850.25,1083.37,600.01,116.67,300,16.67,933.36,1166.71
77.775,33.33,250,116.67,675.01,525.01,883.36,25,0,66.67,3617.06,30,3350.35,1200.04,700.02,100,133.33,33.33,1000.03,1166.71
79.093,0,262.5,0,650.01,362.5,766.68,37.5,62.5,33.33,3183.64,90,3050.29,866.69,483.34,66.67,283.34,0,800.02,1083.37
80.412,33.33,225,66.67,475.01,537.51,916.69,12.5,12.5,100,3883.79,40,1933.45,700.02,633.35,183.33,166.67,16.67,1083.37,1133.38
81.73,0,300,83.33,562.51,325,816.69,50,0,83.33,3400.35,80,3483.71,1016.7,683.35,150,116.67,0,1150.04,1116.71
83.048,16.67,175,50,650.01,587.51,700.01,12.5,12.5,33.33,4167.2,50,3617.07,1066.7,650.01,50,166.67,16.67,1283.39,900.03
84.366,0,300,100,550.01,562.51,933.36,0,0,50,2900.26,0,2750.23,1200.04,583.34,150,200,0,1366.73,1116.71
85.684,16.67,225,66.67,737.52,487.51,983.36,0,25,83.33,3583.72,50,2633.55,916.69,633.35,50,150,33.33,933.36,1016.7
87.002,0,187.5,66.67,437.51,400,866.69,12.5,12.5,33.33,3166.97,50,2433.52,1116.71,533.34,133.33,116.67,0,866.69,1166.71
88.32,33.33,362.5,83.33,562.51,537.51,483.34,0,0,50,2950.26,60,3033.62,1033.37,816.69,100,83.33,33.33,933.36,1000.03
89.638,16.67,287.5,83.33,587.51,412.51,866.69,0,12.5,50,3467.03,120,2900.26,1283.38,650.01,133.33,216.67,16.67,966.7,1216.72
90.956,16.67,312.5,150,675.01,387.5,683.35,0,0,50,2933.6,50,2933.6,1200.04,750.02,150,200,16.67,1166.71,983.37
92.274,66.67,225,83.33,550.01,500.01,1016.7,12.5,62.5,166.67,2566.87,60,2016.79,816.69,633.35,116.67,66.67,0,916.69,1433.4
93.592,33.33,175,50,550.01,712.52,783.35,0,12.5,16.67,2866.92,10,2800.24,933.36,516.68,150,100,16.67,850.02,1066.7
94.91,50,212.5,116.67,437.51,337.5,683.35,0,12.5,16.67,2650.21,50,2450.19,1133.37,933.36,183.33,100,16.67,1183.38,1200.05
96.228,0,100,66.67,537.51,425.01,1116.7,0,25,50,3633.74,80,2100.14,1250.05,616.68,83.33,266.67,16.67,916.69,1300.06
97.546,16.67,325,83.33,487.51,600.01,916.69,25,12.5,166.67,3917.13,60,2033.46,950.03,783.35,133.33,150,16.67,1000.03,1350.06
98.864,83.33,162.5,150,625.01,325,766.68,0,37.5,33.33,2750.23,50,2733.56,1083.37,616.68,50,200,0,800.02,816.69
100.182,50,250,116.67,512.51,500.01,700.01,12.5,12.5,50,3750.43,60,3200.32,950.03,500.01,66.67,133.33,33.33,1083.37,900.03
101.501,33.33,225,133.33,512.51,512.51,866.69,25,0,0,4000.49,60,3367.02,1016.7,833.36,83.33,100,16.67,1166.71,1283.39
102.819,33.33,275,66.67,550.01,412.51,750.02,12.5,0,183.33,2716.89,50,2133.47,866.69,716.68,250,166.67,16.67,1083.37,866.69
104.137,33.33,187.5,33.33,500.01,637.51,800.02,0,0,183.33,3867.12,70,3233.66,966.7,783.35,250,283.34,50,916.69,1133.38
105.455,16.67,450.01,66.67,575.01,437.51,933.36,12.5,12.5,116.67,3166.97,100,3116.97,983.36,516.68,216.67,183.33,16.67,1133.38,1066.7
106.773,16.67,125,33.33,387.5,387.5,716.68,0,12.5,100,3900.46,80,2533.53,1083.37,566.68,100,183.33,16.67,966.7,1000.03
108.091,33.33,225,16.67,512.51,425.01,950.03,0,25,33.33,3717.09,80,2266.83,983.36,616.68,100,183.33,50,966.7,1233.38
109.409,16.67,237.5,66.67,662.51,650.01,900.02,0,0,33.33,3483.7,20,2800.24,1016.7,566.68,66.67,200,33.33,1133.38,1600.09
110.727,16.67,312.5,50,425.01,475.01,983.36,0,25,66.67,3467.03,80,2950.27,1150.04,616.68,83.33,166.67,33.33,816.69,1400.07
112.045,16.67,325,66.67,350,250,733.35,12.5,0,166.67,3400.35,10,2350.17,933.36,616.68,116.67,233.34,0,850.02,1100.04
113.363,66.67,325,150,712.52,562.51,800.02,0,0,33.33,3283.66,70,3400.36,1166.71,666.68,100,233.34,16.67,1000.03,966.7
114.681,0,325,66.67,637.51,500.01,1083.37,12.5,12.5,150,3817.11,130,3567.06,1416.73,666.68,83.33,166.67,16.67,983.37,833.36
115.999,33.33,200,133.33,412.51,487.51,1050.03,25,12.5,16.67,3450.36,80,3016.95,1133.37,816.69,133.33,116.67,16.67,916.69,1283.39
117.317,0,250,0,587.51,600.01,1083.37,12.5,0,16.67,3233.65,20,2083.47,966.7,650.01,116.67,150,33.33,1033.37,983.37
118.634,16.67,375,66.67,450.01,450.01,850.02,0,0,16.67,3633.74,40,3133.64,1316.72,816.69,300,200,33.33,866.69,983.37
